age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers
25,20,157,13,127,6,43,31,2,56,12,41,588,Álex Abrines,5,53,165,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],abrinal01,17,Team.OKLAHOMA_CITY_THUNDER,14
28,8,18,10,15,4,22,10,0,4,7,2,123,Quincy Acy,3,24,17,[<Position.POWER_FORWARD: 'POWER FORWARD'>],acyqu01,1,Team.PHOENIX_SUNS,4
22,65,110,9,74,5,49,34,1,38,7,25,428,Jaylen Adams,11,45,108,[<Position.POINT_GUARD: 'POINT GUARD'>],adamsja01,14,Team.ATLANTA_HAWKS,28
25,124,809,292,2,76,369,80,80,481,146,0,2669,Steven Adams,391,204,1108,[<Position.CENTER: 'CENTER'>],adamsst01,117,Team.OKLAHOMA_CITY_THUNDER,135
21,184,486,226,15,65,432,82,28,280,166,3,1913,Bam Adebayo,165,203,729,[<Position.CENTER: 'CENTER'>],adebaba01,71,Team.MIAMI_HEAT,121
21,5,36,4,23,4,16,19,3,11,4,6,194,Deng Adel,3,13,32,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],adelde01,1,Team.CLEVELAND_CAVALIERS,6
25,6,10,2,4,0,3,7,0,3,1,0,22,DeVaughn Akoon-Purcell,1,4,7,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],akoonde01,2,Team.DENVER_NUGGETS,2
33,194,1319,412,42,107,493,81,81,684,349,10,2687,LaMarcus Aldridge,251,179,1727,[<Position.CENTER: 'CENTER'>],aldrila01,43,Team.SAN_ANTONIO_SPURS,144
21,13,39,12,12,0,15,10,1,13,8,3,120,Rawle Alkins,11,7,37,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],alkinra01,1,Team.CHICAGO_BULLS,8
23,25,178,60,99,6,20,38,2,67,45,32,416,Grayson Allen,3,47,211,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allengr01,6,Team.UTAH_JAZZ,33
20,110,568,278,45,120,481,80,80,335,197,6,2096,Jarrett Allen,191,184,873,[<Position.CENTER: 'CENTER'>],allenja01,43,Team.BROOKLYN_NETS,103
26,76,141,54,36,4,43,19,1,65,42,17,416,Kadeem Allen,8,46,189,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allenka01,16,Team.NEW_YORK_KNICKS,26
28,104,593,173,280,33,498,81,81,257,150,96,2292,Al-Farouq Aminu,112,143,760,[<Position.POWER_FORWARD: 'POWER FORWARD'>],aminual01,68,Team.PORTLAND_TRAIL_BLAZERS,72
25,23,157,35,77,13,60,48,4,64,26,24,463,Justin Anderson,24,48,178,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderju01,22,Team.ATLANTA_HAWKS,23
25,128,276,64,34,37,203,43,40,150,37,9,1281,Kyle Anderson,48,112,346,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderky01,54,Team.MEMPHIS_GRIZZLIES,58
30,17,60,14,34,1,31,15,8,19,11,7,278,Ryan Anderson,14,23,56,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,3,Team.PHOENIX_SUNS,12
30,2,9,2,6,0,5,10,0,2,1,2,44,Ryan Anderson,4,2,7,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,1,Team.MIAMI_HEAT,2
20,1,3,0,0,1,2,3,0,0,0,0,6,Ike Anigbogu,1,0,0,[<Position.CENTER: 'CENTER'>],anigbik01,0,Team.INDIANA_PACERS,1
24,424,1247,686,203,110,739,72,72,721,500,52,2358,Giannis Antetokounmpo,159,232,1994,[<Position.POWER_FORWARD: 'POWER FORWARD'>],antetgi01,92,Team.MILWAUKEE_BUCKS,268
21,0,3,4,0,0,1,2,0,0,2,0,11,Kostas Antetokounmpo,0,0,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],antetko01,2,Team.DALLAS_MAVERICKS,1
34,5,121,22,64,7,45,10,2,49,15,21,294,Carmelo Anthony,9,32,134,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anthoca01,4,Team.HOUSTON_ROCKETS,8
21,47,404,62,202,22,139,67,6,183,36,67,1352,OG Anunoby,58,140,469,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anunoog01,46,Team.TORONTO_RAPTORS,55
24,269,418,102,217,4,192,81,32,187,89,81,1961,Ryan Arcidiacono,27,171,544,[<Position.POINT_GUARD: 'POINT GUARD'>],arcidry01,65,Team.CHICAGO_BULLS,63
33,87,227,43,139,8,129,26,26,86,36,50,884,Trevor Ariza,16,44,258,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],arizatr01,38,Team.PHOENIX_SUNS,39
33,165,509,121,295,13,192,43,43,208,94,95,1465,Trevor Ariza,34,86,605,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],arizatr01,53,Team.WASHINGTON_WIZARDS,67
31,426,677,209,311,4,162,81,81,318,181,131,2269,D.J. Augustin,41,115,948,[<Position.POINT_GUARD: 'POINT GUARD'>],augusdj01,52,Team.ORLANDO_MAGIC,128
20,125,870,189,4,67,506,71,70,509,141,0,2183,Deandre Ayton,223,209,1159,[<Position.CENTER: 'CENTER'>],aytonde01,61,Team.PHOENIX_SUNS,126
23,47,257,46,87,5,81,43,13,122,34,38,759,Dwayne Bacon,8,72,316,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bacondw01,12,Team.CHARLOTTE_HORNETS,18
19,62,706,262,96,59,309,62,4,356,181,30,1567,Marvin Bagley III,162,120,923,[<Position.POWER_FORWARD: 'POWER FORWARD'>],baglema01,33,Team.SACRAMENTO_KINGS,98
25,13,16,6,9,0,6,11,0,4,5,1,107,Ron Baker,1,16,14,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bakerro01,5,Team.NEW_YORK_KNICKS,3
25,2,4,0,4,1,4,4,0,0,0,0,45,Ron Baker,0,2,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bakerro01,1,Team.WASHINGTON_WIZARDS,2
22,12,33,11,9,2,13,16,0,10,8,2,94,Wade Baldwin,2,11,30,[<Position.POINT_GUARD: 'POINT GUARD'>],baldwwa01,1,Team.PORTLAND_TRAIL_BLAZERS,14
21,255,456,48,228,19,197,47,45,185,20,75,1423,Lonzo Ball,54,114,465,[<Position.POINT_GUARD: 'POINT GUARD'>],balllo01,69,Team.LOS_ANGELES_LAKERS,103
20,39,243,63,70,64,169,47,1,117,37,21,766,Mo Bamba,64,102,292,[<Position.CENTER: 'CENTER'>],bambamo01,13,Team.ORLANDO_MAGIC,43
34,211,385,78,128,1,82,38,0,161,55,38,752,J.J. Barea,13,50,415,[<Position.POINT_GUARD: 'POINT GUARD'>],bareajo01,22,Team.DALLAS_MAVERICKS,72
26,62,717,198,311,11,171,49,49,290,165,121,1584,Harrison Barnes,36,79,866,[<Position.POWER_FORWARD: 'POWER FORWARD'>],barneha02,33,Team.DALLAS_MAVERICKS,68
26,53,310,80,130,2,133,28,28,141,64,53,949,Harrison Barnes,21,43,399,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],barneha02,17,Team.SACRAMENTO_KINGS,30
28,124,460,74,196,22,167,43,38,185,57,67,1189,Will Barton,32,82,494,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bartowi01,18,Team.DENVER_NUGGETS,65
23,17,142,28,52,14,67,30,3,60,18,13,503,Keita Bates-Diop,16,29,151,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bateske01,18,Team.MINNESOTA_TIMBERWOLVES,14
30,247,562,89,298,43,319,75,72,253,77,116,2354,Nicolas Batum,71,140,699,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],batumni01,71,Team.CHARLOTTE_HORNETS,117
30,119,230,28,98,2,51,34,6,82,16,29,657,Jerryd Bayless,11,56,209,[<Position.POINT_GUARD: 'POINT GUARD'>],bayleje01,18,Team.MINNESOTA_TIMBERWOLVES,32
32,57,223,62,61,34,152,51,18,105,53,21,821,Aron Baynes,88,125,284,[<Position.CENTER: 'CENTER'>],baynear01,12,Team.BOSTON_CELTICS,40
29,152,691,175,300,42,224,67,35,278,127,96,1643,Kent Bazemore,37,170,779,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bazemke01,89,Team.ATLANTA_HAWKS,121
25,448,1609,448,596,58,322,82,82,764,362,209,3028,Bradley Beal,89,226,2099,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bealbr01,121,Team.WASHINGTON_WIZARDS,224
22,97,737,66,405,10,165,81,18,349,56,163,1879,Malik Beasley,35,116,917,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],beaslma01,55,Team.DENVER_NUGGETS,55
30,25,153,39,17,10,47,26,2,75,28,3,277,Michael Beasley,13,42,181,[<Position.POWER_FORWARD: 'POWER FORWARD'>],beaslmi01,9,Team.LOS_ANGELES_LAKERS,27
32,132,690,124,395,8,182,79,1,285,112,147,1815,Marco Belinelli,16,121,829,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],belinma01,35,Team.SAN_ANTONIO_SPURS,72
24,76,192,41,2,51,129,68,3,99,25,0,788,Jordan Bell,55,80,223,[<Position.CENTER: 'CENTER'>],belljo01,20,Team.GOLDEN_STATE_WARRIORS,42
24,202,616,136,173,41,304,82,15,275,87,50,1931,DeAndre' Bembry,54,190,687,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bembrde01,105,Team.ATLANTA_HAWKS,142
21,56,197,54,101,22,149,46,27,88,32,22,826,Dragan Bender,34,90,230,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bendedr01,18,Team.PHOENIX_SUNS,37
29,10,47,0,34,0,7,12,0,12,0,10,167,Dairis Bertāns,2,7,34,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bertada02,1,Team.NEW_ORLEANS_PELICANS,2
26,100,453,60,338,33,241,76,12,204,53,145,1632,Dāvis Bertāns,23,133,606,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bertada01,35,Team.SAN_ANTONIO_SPURS,43
30,300,477,123,282,43,312,78,49,194,96,112,2137,Patrick Beverley,76,265,596,[<Position.POINT_GUARD: 'POINT GUARD'>],beverpa01,67,Team.LOS_ANGELES_CLIPPERS,85
26,38,151,83,1,29,111,50,1,91,58,0,643,Khem Birch,79,72,240,[<Position.CENTER: 'CENTER'>],birchkh01,18,Team.ORLANDO_MAGIC,20
26,33,156,91,0,41,166,54,32,89,58,0,783,Bismack Biyombo,81,103,236,[<Position.CENTER: 'CENTER'>],biyombi01,11,Team.CHARLOTTE_HORNETS,34
30,147,593,92,257,56,319,77,70,284,70,103,1788,Nemanja Bjelica,125,197,741,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bjeline01,54,Team.SACRAMENTO_KINGS,82
22,42,396,76,91,9,99,57,3,166,50,36,829,Antonio Blakeney,7,41,418,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],blakean01,12,Team.CHICAGO_BULLS,35
29,430,971,236,377,29,280,78,78,470,177,124,2272,Eric Bledsoe,82,156,1241,[<Position.POINT_GUARD: 'POINT GUARD'>],bledser01,116,Team.MILWAUKEE_BUCKS,165
25,13,106,13,39,8,72,27,4,47,10,10,439,Jaron Blossomgame,26,20,114,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],blossja01,7,Team.CLEVELAND_CAVALIERS,11
26,267,863,162,372,15,203,70,17,361,134,134,1947,Bogdan Bogdanović,40,142,990,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bogdabo01,72,Team.SACRAMENTO_KINGS,117
29,161,1051,305,386,1,300,81,81,522,246,164,2573,Bojan Bogdanović,33,138,1454,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bogdabo02,69,Team.INDIANA_PACERS,134
34,11,36,3,0,8,43,11,5,18,3,0,134,Andrew Bogut,12,22,39,[<Position.CENTER: 'CENTER'>],bogutan01,3,Team.GOLDEN_STATE_WARRIORS,8
23,40,162,27,96,39,118,44,10,80,13,34,639,Jonah Bolden,47,99,207,[<Position.POWER_FORWARD: 'POWER FORWARD'>],boldejo01,17,Team.PHILADELPHIA_76ERS,36
19,15,33,15,8,4,16,22,0,5,9,0,120,Isaac Bonga,9,9,19,[<Position.POINT_GUARD: 'POINT GUARD'>],bongais01,9,Team.LOS_ANGELES_LAKERS,6
22,433,1255,454,414,13,226,64,64,586,393,135,2242,Devin Booker,39,200,1700,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bookede01,56,Team.PHOENIX_SUNS,264
26,2,76,15,37,24,40,28,0,34,13,12,163,Chris Boucher,16,31,93,[<Position.POWER_FORWARD: 'POWER FORWARD'>],bouchch01,6,Team.TORONTO_RAPTORS,7
28,96,420,25,172,16,96,49,49,161,20,58,1463,Avery Bradley,35,133,400,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bradlav01,27,Team.LOS_ANGELES_CLIPPERS,61
28,56,188,25,73,0,36,14,14,87,23,28,442,Avery Bradley,8,34,225,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bradlav01,14,Team.MEMPHIS_GRIZZLIES,28
21,1,16,2,0,2,6,3,0,8,1,0,36,Tony Bradley,9,6,17,[<Position.CENTER: 'CENTER'>],bradlto01,2,Team.UTAH_JAZZ,3
32,10,49,13,14,2,13,7,3,20,9,4,140,Corey Brewer,4,16,53,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],breweco01,12,Team.PHILADELPHIA_76ERS,8
32,29,74,30,30,5,37,24,0,33,22,10,352,Corey Brewer,22,47,98,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],breweco01,20,Team.SACRAMENTO_KINGS,11
22,173,563,118,313,38,208,82,56,242,95,105,2417,Mikal Bridges,56,201,684,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi01,129,Team.PHOENIX_SUNS,70
20,95,511,77,200,49,256,80,25,237,58,65,1696,Miles Bridges,67,111,597,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi02,55,Team.CHARLOTTE_HORNETS,50
22,87,138,26,34,2,69,39,0,55,15,11,559,Isaiah Briscoe,5,66,136,[<Position.POINT_GUARD: 'POINT GUARD'>],briscis01,11,Team.ORLANDO_MAGIC,31
28,22,126,19,93,4,55,42,0,57,15,38,453,Ryan Broekhoff,8,35,167,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],broekry01,6,Team.DALLAS_MAVERICKS,16
26,205,748,152,244,13,223,64,64,378,141,104,1832,Malcolm Brogdon,65,102,1001,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brogdma01,46,Team.MILWAUKEE_BUCKS,91
23,16,122,30,40,4,22,18,0,49,22,15,330,Dillon Brooks,9,50,135,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brookdi01,10,Team.MEMPHIS_GRIZZLIES,19
30,25,169,33,54,4,33,29,0,76,23,15,387,MarShon Brooks,12,33,190,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brookma01,9,Team.MEMPHIS_GRIZZLIES,21
22,91,314,60,93,36,137,74,56,125,45,24,1449,Bruce Brown,48,178,319,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownbr01,40,Team.DETROIT_PISTONS,46
22,100,792,202,276,32,248,74,25,368,133,95,1913,Jaylen Brown,65,186,964,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownja02,69,Team.BOSTON_CELTICS,99
28,28,71,3,28,5,26,26,0,23,3,6,212,Lorenzo Brown,5,22,55,[<Position.POINT_GUARD: 'POINT GUARD'>],brownlo01,12,Team.TORONTO_RAPTORS,16
23,84,312,42,147,8,155,58,7,145,29,53,1034,Sterling Brown,29,88,372,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownst02,25,Team.MILWAUKEE_BUCKS,46
19,80,234,47,69,5,110,52,10,97,32,22,730,Troy Brown Jr.,35,56,248,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],browntr01,21,Team.WASHINGTON_WIZARDS,30
22,230,565,120,181,4,144,73,38,264,87,63,1591,Jalen Brunson,25,127,678,[<Position.POINT_GUARD: 'POINT GUARD'>],brunsja01,37,Team.DALLAS_MAVERICKS,88
21,92,502,137,99,67,341,72,53,309,107,33,1496,Thomas Bryant,113,126,758,[<Position.CENTER: 'CENTER'>],bryanth01,25,Team.WASHINGTON_WIZARDS,60
27,109,441,64,294,5,103,44,44,182,56,114,1355,Reggie Bullock,20,79,534,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bullore01,24,Team.DETROIT_PISTONS,54
27,20,153,21,99,7,48,19,16,63,17,34,524,Reggie Bullock,2,30,177,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],bullore01,16,Team.LOS_ANGELES_LAKERS,11
26,94,358,75,86,5,47,33,7,148,62,30,689,Trey Burke,15,33,388,[<Position.POINT_GUARD: 'POINT GUARD'>],burketr01,21,Team.NEW_YORK_KNICKS,29
26,65,190,49,73,2,24,25,1,88,41,26,436,Trey Burke,13,25,243,[<Position.POINT_GUARD: 'POINT GUARD'>],burketr01,12,Team.DALLAS_MAVERICKS,20
27,20,114,38,43,4,25,17,0,47,33,16,269,Alec Burks,2,22,143,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burksal01,6,Team.UTAH_JAZZ,15
27,98,340,98,119,16,160,34,24,136,79,45,979,Alec Burks,26,62,396,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burksal01,25,Team.CLEVELAND_CAVALIERS,46
27,10,20,5,6,1,20,13,0,9,4,0,127,Alec Burks,2,7,22,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burksal01,8,Team.SACRAMENTO_KINGS,4
25,9,82,12,27,8,24,32,0,33,8,8,240,Deonte Burton,4,31,82,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],burtode02,6,Team.OKLAHOMA_CITY_THUNDER,9
29,43,157,61,45,10,36,10,10,74,48,17,361,Jimmy Butler,16,18,213,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],butleji01,24,Team.MINNESOTA_TIMBERWOLVES,14
29,220,747,304,148,29,185,55,55,344,264,50,1824,Jimmy Butler,105,93,1002,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],butleji01,99,Team.PHILADELPHIA_76ERS,81
23,50,225,50,130,33,116,34,19,96,42,48,800,Bruno Caboclo,42,81,282,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],cabocbr01,14,Team.MEMPHIS_GRIZZLIES,38
37,115,120,11,57,3,49,49,0,45,9,14,632,José Calderón,11,64,113,[<Position.POINT_GUARD: 'POINT GUARD'>],caldejo01,16,Team.DETROIT_PISTONS,35
25,110,756,158,435,13,190,82,23,325,137,151,2035,Kentavious Caldwell-Pope,48,137,938,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],caldwke01,73,Team.LOS_ANGELES_LAKERS,65
27,62,129,20,72,0,44,19,15,51,15,25,503,Isaiah Canaan,5,46,142,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,12,Team.PHOENIX_SUNS,29
27,19,29,4,19,1,5,7,1,11,4,7,95,Isaiah Canaan,0,4,33,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,2,Team.MINNESOTA_TIMBERWOLVES,4
27,3,6,0,5,1,3,4,0,2,0,2,31,Isaiah Canaan,1,2,6,[<Position.POINT_GUARD: 'POINT GUARD'>],canaais01,0,Team.MILWAUKEE_BUCKS,2
24,96,732,261,0,102,550,67,67,474,166,0,2249,Clint Capela,298,168,1114,[<Position.CENTER: 'CENTER'>],capelca01,44,Team.HOUSTON_ROCKETS,94
32,85,575,242,310,10,281,67,8,227,184,106,1703,DeMarre Carroll,68,114,744,[<Position.POWER_FORWARD: 'POWER FORWARD'>],carrode01,31,Team.BROOKLYN_NETS,73
23,69,185,32,102,11,52,39,3,56,26,34,577,Jevon Carter,14,55,172,[<Position.POINT_GUARD: 'POINT GUARD'>],carteje01,26,Team.MEMPHIS_GRIZZLIES,33
42,87,468,66,316,27,163,76,9,196,47,123,1330,Vince Carter,31,141,562,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cartevi01,44,Team.ATLANTA_HAWKS,48
19,78,371,112,32,58,220,44,44,180,89,6,1110,Wendell Carter Jr.,87,152,455,[<Position.CENTER: 'CENTER'>],cartewe01,26,Team.CHICAGO_BULLS,65
27,21,61,26,19,6,10,16,1,25,12,7,145,Michael Carter-Williams,3,27,69,[<Position.POINT_GUARD: 'POINT GUARD'>],cartemi01,9,Team.HOUSTON_ROCKETS,10
27,49,62,27,19,9,41,12,0,21,20,3,227,Michael Carter-Williams,16,21,65,[<Position.POINT_GUARD: 'POINT GUARD'>],cartemi01,11,Team.ORLANDO_MAGIC,10
24,77,173,64,50,9,47,25,4,77,51,24,531,Alex Caruso,20,54,229,[<Position.POINT_GUARD: 'POINT GUARD'>],carusal01,24,Team.LOS_ANGELES_LAKERS,42
30,26,161,58,43,9,98,36,0,86,39,15,520,Omri Casspi,17,35,226,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],casspom01,20,Team.MEMPHIS_GRIZZLIES,23
25,194,741,254,2,51,497,81,81,412,140,1,2213,Willie Cauley-Stein,181,227,965,[<Position.CENTER: 'CENTER'>],caulewi01,96,Team.SACRAMENTO_KINGS,84
23,4,8,0,3,0,2,4,0,4,0,2,16,Troy Caupain,1,0,10,[<Position.POINT_GUARD: 'POINT GUARD'>],caupatr01,1,Team.ORLANDO_MAGIC,0
24,1,10,2,5,0,5,11,0,3,2,1,39,Tyler Cavanaugh,3,3,9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],cavanty01,0,Team.UTAH_JAZZ,1
36,6,12,18,0,1,32,7,0,8,10,0,89,Tyson Chandler,7,21,26,[<Position.CENTER: 'CENTER'>],chandty01,2,Team.PHOENIX_SUNS,7
36,31,87,69,1,22,183,48,6,53,41,0,786,Tyson Chandler,85,89,147,[<Position.CENTER: 'CENTER'>],chandty01,19,Team.LOS_ANGELES_LAKERS,35
31,72,207,18,118,18,124,36,32,91,13,46,951,Wilson Chandler,44,94,241,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chandwi01,22,Team.PHILADELPHIA_76ERS,39
31,10,66,7,40,3,43,15,1,23,5,13,226,Wilson Chandler,4,29,64,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],chandwi01,3,Team.LOS_ANGELES_CLIPPERS,7
23,1,3,0,0,0,0,1,0,1,0,0,8,Joe Chealey,0,1,2,[<Position.POINT_GUARD: 'POINT GUARD'>],chealjo01,0,Team.CHARLOTTE_HORNETS,0
23,4,8,0,5,1,3,7,0,2,0,2,33,Chris Chiozza,1,2,6,[<Position.POINT_GUARD: 'POINT GUARD'>],chiozch01,1,Team.HOUSTON_ROCKETS,1
21,6,34,7,15,4,21,16,0,11,6,1,104,Marquese Chriss,7,17,29,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chrisma01,2,Team.HOUSTON_ROCKETS,12
21,16,146,38,57,7,81,27,2,56,26,15,395,Marquese Chriss,33,64,153,[<Position.POWER_FORWARD: 'POWER FORWARD'>],chrisma01,15,Team.CLEVELAND_CAVALIERS,24
24,18,151,7,138,26,92,51,2,50,7,41,641,Gary Clark,24,47,148,[<Position.POWER_FORWARD: 'POWER FORWARD'>],clarkga01,20,Team.HOUSTON_ROCKETS,7
